question,gemma3_reply
"Ho latela seratswana, ke eng e ka thusang ho tiisa bohlokwa ba boiketlo ba diphoofolo ho basebetsi ba hlabang diphoofolo ba Australia?","The correct answer is **A: Ho kenya dikhamera tsa CCTV**.

The passage explicitly states that the Animal Welfare League of NSW, the Animal Liberation, and the RSPCA are advocating for the installation of CCTV cameras in all animal facilities in Australia.  The quote from David O'Shannessy directly links CCTV to ensuring animal welfare.

Therefore, installing CCTV cameras is the action advocated for to improve the welfare of animals in Australia.
"
"Ho latela seratswana, mosebetsi wa motho ya neng a tshwerwe ke ofe?","The correct answer is **A: Moithuti (Student)**.

The text states: ""Le ha ho le jwalo, mohlodi ya nang le tsebo ya patlisiso o boleletse Naledi ya Lekgotla ya Minneapolis hore e ne e le Louis Jourdain, mora ya dilemo di 16 wa Modula-setulo wa Merabe ya Letsha le Lekgubedu Floyd Jourdain."" This indicates that Louis Jourdain was a student.
"
"Ho latela seratswana, ha ditaba di ntse di hasana ka ho tshwarwa hape, ho ne ho ntse ho etswa mapato a batho ba bakae?","The correct answer is **C: A robong**.

The text states: ""...ho ba robong tsa hore moithuti e mong o ile a tshwarwa mabapi le ho thunyana sekolong ka la 21 Hlakubele."" which translates to ""...among the victims that a student was shot in the school on March 21st."" The word ""robong"" means ""victims"" and the text specifies there were six of them.
"
"Ho arabela boipelaetso, ke naha efe e sa kang ya tswela pele ka tumellano ya bona ya ACTA e saennweng?","The correct answer is **B: Poland**.

The text explicitly states: ""Kgweki e fetileng, ho ne ho e na le diteraeke tse kgolo Poland ha naha eo e saena ACTA, ho bakileng hore mmuso wa Mapolishe o nke qeto ya ho se amohele tumellano, ha jwale."" (Last week, there were large protests in Poland against ACTA, leading the Polish government to decide not to accept the agreement, currently.)
"
"Ho latela seratswana, ke efe ho dinaha tse latelang e nkileng qeto ya ho tjhetjhisa mokhwa wa ho kenela ACTA?","The correct answer is **D: Latvia**.

The text states: ""Latvia le Slovakia ka bobedi di diehisitse tshebetso ya ho kenela ACTA."" This means Latvia refused to implement ACTA.
"
Ke batho ba bakae ba ileng ba tswa dikotsi ka lebaka la diketsahalo tsa ho tjhesa ka ho feteletseng ha iPod?,"The correct answer is **A: 4**.

The text states: ""...sa siya batho ba bane ba na le dikotsi tsa ho tjha tse nyane.""  This translates to ""...left four people with a slight risk of burns."" Therefore, only four people were at risk of burns.
"
Ke mang ya boletseng hore diketsahalo tsa ho tjhesa ka ho feteletseng di ne di se kotsi haholo?,"The correct answer is **A: METI**.

The text states: ""Lefapha la Moruo, Kgwebo le Indasteri (Ministry of Economy, Trade and Industry (METI)) le itse le ne le lemohile ka dikotsi tse 27 tse amanang le disebediswa.""  This directly translates to ""The Ministry of Economy, Trade and Industry (METI) was aware of 27 risks associated with the products.""  Later, it further emphasizes METI's stance by calling Apple's explanation ""llegitimate"".
"
"Nakong ya puo ya hae, Steve Jobs o itse Apple e tla tsosolosa eng?","The correct answer is **B: Mohala (Phone)**.

The passage states: ""Kajeno Apple e tla hlahisa botjha founu ena..."" which translates to ""Today Apple will launch a new phone...""
"
Sepheo sa puo ya Steve Jobs ya dihora tse pedi e ne e le eng?,"The correct answer is **C: Ho qala fono e ntjha (To launch a new phone)**.

The quote ""Kajeno Apple e tla hlahisa botjha founu ena, Re tlo etsa pale kajeno"" translates to ""Today Apple will launch a new phone, We will make a presentation today.""  The context of Steve Jobs and Apple's history strongly suggests he was referring to a new iPhone launch.
"
Cristina Fernandez de Kirchner o phatlaladitse eng ho Sebakeng sa Theatre sa Argentina?,"The correct answer is **A: Bokgethwa ba hae ba mopresidente (His presidential candidacy)**.

The passage states: ""Mof. Kirchner o phatlaladitse maikemisetso a hae a ho iketela bopresidente a le mane Argentine Theatre..."" which translates to ""Ms. Kirchner announced her intention to run for president at the Argentine Theatre..."" 

Therefore, she announced her presidential candidacy.
"
Cristina Fernandez de Kirchner o phatlaladitse morero wa hae wa ho matha hokae?,"The correct answer is **A: Sebakeng sa diketsahalo se bohole ba dimaele tse 31 ho tloha La Plata**.

The text states: ""Mosenate wa hajwale ebile e le Mofumahadi wa Mopresidente wa Argentina Cristina Fernandez de Kirchner o phatlaladitse hore e tla ba nkgetheng bakeng sa bopresidente phirimaneng ya maobane mane La Plata, e leng toropokgolo e bohole ba dikhilomitara tse 50 (dimmaele tse 31) ho tloha Buenos Aires.""  This directly translates to saying she announced her candidacy in La Plata, which is 31 miles from Buenos Aires.
"
