question,gemma3_reply
"கொடுக்கப்பட்டிருக்கும் இந்த பத்தியில், சுரங்களை துல்லியமாக வாசிப்பதற்கான சரியான உதவிக் குறிப்பு இல்லை எனக் கருதப்படுவது எது?","சரியான பதில் **A: அதிக அளவு ஒலியினை ஏற்படுத்த, விசைகளை அதிக அளவு ஆற்றலுடன் அழுத்த வேண்டும்**.

ஏனெனில், பத்தியில் ""அதிக ஒலிக்காக விசைகளை பியானோவில் அழுத்துவது போல அதிக ஆற்றலுடன் அழுத்தத் தேவையில்லை"" என்று தெளிவாகக் கூறப்பட்டுள்ளது. எனவே, அதிக ஆற்றலுடன் அழுத்துவது சரியான உதவிக்குறிப்பு இல்லை.

மற்ற விருப்பங்கள் அனைத்தும் பத்தியில் உள்ள கருத்துகளுடன் ஒத்துப்போகின்றன:

*   **B:** விரல்களால் தேவையற்ற அசைவுகளைச் செய்யாமல் இருப்பது சோர்வைக் குறைக்கும்.
*   **C:** கைகளை சௌகரியமாக வைத்திருப்பது முக்கியம்.
*   **D:** அதிக அழுத்தம் அல்லது வேகமுடைய துருத்திகளைப் பயன்படுத்துவது ஒலியை அதிகரிக்கும் என்று பத்தி கூறுகிறது."
"சுரங்களை வாசிக்கும் போது, பின்வருவனவற்றுல் சத்தத்தை அதிகரிப்பது எது?","சரியான பதில் **B: அதிக அளவு வலிமை**.

ஏனெனில், கேள்வி அக்கார்டியனில் சத்தத்தை அதிகரிப்பது எது என்று கேட்கிறது. கொடுக்கப்பட்டுள்ள பதில்களில், அதிக வலிமையுடன் துருத்திகளை அழுத்துவது சத்தத்தை அதிகரிக்கும் என்று கூறப்பட்டுள்ளது. மற்ற விருப்பங்கள் (வேகம், குறைந்த அழுத்தம், குறைந்த விரல் அசைவுகள்) சத்தத்தை அதிகரிக்காது அல்லது குறைக்கலாம்.
"
தொலைக்காட்சியில் வரும் படங்களில் ஓரங்கள் ஏன் வெட்டப்படுகின்றன?,"சரியான பதில்: **B: படம் முழு திரையிலும் உள்ளடங்கி இருக்க**

விளக்கம்:

கேள்வி, தொலைக்காட்சியில் வரும் படங்களில் ஓரங்கள் ஏன் வெட்டப்படுகின்றன என்று கேட்கிறது. பதில், ""படம் முழு திரையிலும் உள்ளடங்கி இருக்க"" என்று கூறுகிறது. இதுவே ஓவர்ஸ்கேன் செய்வதற்கான முக்கிய காரணம். தொலைக்காட்சிகள் பொதுவாக அனைத்துப் படங்களும் திரையின் எல்லைக்குள் இருக்குமாறு வடிவமைக்கப்படுகின்றன.

மற்ற பதில்கள் தவறானவை:

*   **A: வசன வரிகளை ஓடவிட:** ஓவர்ஸ்கேன் வசன வரிகளை மறைக்கக் காரணமாக இருக்கலாம், ஆனால் அதுவே முக்கிய காரணம் அல்ல.
*   **C: எளிய உரையாடல்களை பிற ஃபார்மேட்டில் மாற்றி அனுமதிக்க:** இது தொடர்பில்லாத பதில்.
*   **D: வசன வரிகள் மிகவும் கீழே இருந்தால் அவற்றை வெட்ட:** ஓவர்ஸ்கேன் வசன வரிகளை வெட்டக் காரணமாக இருக்கலாம், ஆனால் அதுவே முக்கிய காரணம் அல்ல."
"கொடுக்கப்பட்டுள்ள பத்தியின்படி, ஒரு திரைப்படத்தை டிவிடி வடிவத்திற்கு மாற்றும்போது பின்வருவனவற்றுல் எந்த மாதிரியான சிக்கல்களைச் சந்திக்க நேரிடும்?","சரியான பதில் **B: சில வசன வரிகள் துண்டிக்கப்படுவது**.

ஏனெனில், பத்தியில் ஓவர்ஸ்கேன் காரணமாக வசன வரிகள் முழுமையாகக் காட்டப்படாமல் போகும் என்று கூறப்பட்டுள்ளது. மற்ற பதில்கள் தவறானவை, ஏனெனில் பத்தி ஓவர்ஸ்கேன் காரணமாக திரை முழுதும் படம் நிரப்பப்படாமல் இருப்பதையும் (A), படம் முழுதும் திரையில் நிரப்பி இருப்பதையும் (C) பற்றி பேசவில்லை. மேலும், ஓரங்கள் வெட்டப்படுவது (D) ஓவர்ஸ்கேனின் ஒரு விளைவுதான், ஆனால் வசன வரிகள் துண்டிக்கப்படுவது ஒரு குறிப்பிட்ட சிக்கலாக குறிப்பிடப்பட்டுள்ளது.
"
பிரிட்டிஷ் காவற்படை எங்கே இருந்தது?,"சரியான பதில் **C: போர்டேன்டவுன்**.

காரணம்:

கேள்வி ஜெனரல் ஜான் கட்வால்டேர் எந்த இடத்தில் தாக்குதல் நடத்த திட்டமிட்டார் என்று கேட்கிறது. பத்தியில், ""ஜெனரல் ஜான் கட்வால்டேர், எந்த ஒரு வலுவூட்டலையும் தடுக்கும் விதமாக, போர்டேன்டவுனில் இருந்த பிரிட்டிஷ் காவற்படையின் மீது ஒரு திசை திருப்பும் தாக்குதலை நடத்துவார்"" என்று தெளிவாகக் கூறப்பட்டுள்ளது. எனவே, பிரிட்டிஷ் காவற்படை போர்டேன்டவுனில் இருந்தது."
கையால் எழுதப்பட்ட வரைவில் யாருடைய கையெழுத்து இருந்தது?,"சரியான பதில் **D: சார்லஸ் தாம்சன்**.

காரணம்:

கேள்வியில், ""காங்கிரஸ் தலைவர் ஜான் ஹான்காக் மற்றும் செயலாளர் சார்லஸ் தாம்சன் இருவரும் கையெழுத்திட்ட பின்"" கையால் எழுதப்பட்ட வரைவானது ஜான் டன்லப்பின் அச்சகத்திற்கு அனுப்பப்பட்டது என்று தெளிவாகக் கூறப்பட்டுள்ளது. எனவே, கையெழுத்து ஜான் ஹான்காக் மற்றும் சார்லஸ் தாம்சன் இருவருக்கும் இருந்தது.

மற்ற விருப்பங்கள் தவறானவை:

*   **A: ஜான் டன்லப்** - அவர் ஆவணத்தை அச்சிட்டவர், கையெழுத்திட்டவர் அல்ல.
*   **B: ஜார்ஜ் வாஷிங்டன்** - அவர் ஆவணத்தைப் படைகளிடம் வாசித்தவர், ஆனால் கையெழுத்திட்டவர் அல்ல.
*   **C: ஜான் நிக்சன்** - அவர் ஆவணத்தை சுதந்திர மண்டபத்தில் வாசித்தவர், ஆனால் கையெழுத்திட்டவர் அல்ல.

எனவே, சரியான பதில் சார்லஸ் தாம்சன்."
"பின்வரும் இடங்களில், டன்லப் ப்ராட்சைட் இறுதியாக எங்கிருந்து வந்தது?","சரியான பதில் **C: லண்டன்**.

கொடுக்கப்பட்ட பத்தியில், ""லண்டனுக்கு ஆகஸ்ட் 10ஆம் தேதி ஒரு பிரதி சென்றடைந்தது"" என்று தெளிவாகக் குறிப்பிடப்பட்டுள்ளது. எனவே, டன்லப் ப்ராட்சைட் இறுதியாக லண்டனிலிருந்து வந்தது."
கர்னல் ஸ்டார்க்கின் படைகள் எங்கே இருந்தன?,"சரியான பதில்: **A: வடக்குப்புற வேலியை ஒட்டி**

கொடுக்கப்பட்டுள்ள பத்தியில், ""ஸ்டார்க்கின் வீரர்கள் காலனிக்காரர்களின் நிலையின் வடக்குப்புற வேலியை ஒட்டி நிலை கொண்டனர்"" என்று தெளிவாகக் கூறப்பட்டுள்ளது. எனவே, கர்னல் ஸ்டார்க்கின் படைகள் வடக்குப்புற வேலியை ஒட்டி இருந்தன."
"கொடுக்கப்பட்டுள்ள பத்தியின்படி, ஸ்டார்க்கின் ஆட்கள் எப்போது தங்கள் வேலியை நீட்டினர்?","சரியான பதில் **C: குறைந்த அலையின் போது**.

பத்தியில், ""தீபகற்பத்தின் வடகிழக்கு பகுதியில் மிஸ்டிக் ஆற்றின் குறுக்கே குறைந்த அலை ஒரு இடத்தை திறந்து தண்ணீர் பாயும்போது, அவர்கள் விரைவாக ஒரு சிறிய கடற்கரையில் தண்ணீர் முடிவடையும் பகுதியில் ஒரு குறுகிய கல்லால் ஆன சுவர் எழுப்பி வேலியை நீட்டினர்"" என்று கூறப்பட்டுள்ளது. எனவே, ஸ்டார்க்கின் ஆட்கள் குறைந்த அலையின் போது தங்கள் வேலியை நீட்டினர் என்பது தெளிவாகிறது."
"கொடுக்கப்பட்டுள்ள பத்தியின்படி, பின்வருவனவற்றுல் சீனாவின் மிகவும் வன்முறையான காலகட்டங்களில் ஒன்றாக கருதப்படுவது எது?","சரியான பதில் **D: மூன்று இராச்சியங்களின் சகாப்தம்**.

கொடுக்கப்பட்டுள்ள பத்தியில், ""மூன்று அரசாங்கங்கள் என்பது பழங்கால சீன வரலாற்றில் ஒரு ரத்த களரியான காலம்"" என்று குறிப்பிடப்பட்டுள்ளது. மேலும், ""ஆயிரக்கணக்கான மக்கள் சியானிலிருந்த பெரிய அரண்மனையின் உயர்ந்த பதவியில் அமர, சண்டையிட்டுக் கொண்டு இறந்தனர்"" என்றும் கூறப்பட்டுள்ளது. இது மூன்று இராச்சியங்களின் சகாப்தத்தின் வன்முறையான தன்மையை தெளிவாகக் காட்டுகிறது.

மற்ற விருப்பங்கள் பொருத்தமற்றவை:
* **ஜின் வம்சம்:** ஜின் வம்சத்தைப் பற்றி பத்தியில் எந்த தகவலும் இல்லை.
* **சியான் சகாப்தம்:** சியான் ஒரு முக்கியமான நகரம் என்றாலும், அந்த காலகட்டம் வன்முறையானது என்று பத்தி கூறவில்லை.
* **ஹான் வம்சம்:** ஹான் வம்சம் முந்தைய வம்சமாக குறிப்பிடப்பட்டுள்ளது. மூன்று இராச்சியங்களின் சகாப்தம் மிகவும் வன்முறையானது என்று பத்தி குறிப்பிடுகிறது."
