question,gemma3_reply
کدام یک از موارد زیر علیرغم وجود نشانه‌های خارجی ادامه پیدا خواهد کرد؟,"The correct answer is **C: ساعت‌های بیولوژیک (Biological clocks)**.

Here's why:

* **The passage explicitly states:** ""ساعت‌های بیولوژیکی نوسان‌سازهای خودپایداری هستند که دوره‌ای از یک سیکل آزاد‌گرد را در نبود نشانه‌های بیرونی ادامه می‌دهند."" (Biological clocks are self-sustaining oscillators that continue a cycle of free-running in the absence of external cues.)

* **Explanation of why other options are incorrect:**
    * **A: چرخه درون‌زا (Endogenous cycle):** While related, a cycle is a broader term. The passage focuses on the *internal, self-sustaining* aspect of biological clocks.
    * **B: ریتم‌های دوره‌ای (Rhythmic patterns):** Rhythmic patterns *can* be influenced by external cues. The passage emphasizes the ability of biological clocks to generate rhythms independently.
    * **D: ریتم‌های مشاهده‌شده (Observed rhythms):**  Observed rhythms are simply rhythms that are noticed. They might be influenced by external factors, but the core question is about the origin of the rhythm itself.

Therefore, the passage directly links biological clocks to the ability to continue their cycles even without external cues.
"
کدام واژه افرادی را توصیف می‌کند که چندین نوع از خصوصیت فنوتیپی خاصی را نشان می‌دهند؟,"The correct answer is **D: چند شکلی (Polymorphic)**.

Here's why:

* **چند شکلی (Polymorphic)**:  The definition states that individuals displaying multiple types of a particular phenotypic characteristic are referred to as polymorphic.

Let's look at why the other options are incorrect:

* **تک‌شکل (Monomorphic)**: This refers to individuals that all share the same phenotypic characteristic.
* **ارگانیسم‌ها (Organisms)**: This is a general term for living things and doesn't specify anything about phenotypic variation.
* **گونه‌ها (Species)**: This refers to a group of organisms that can interbreed and produce fertile offspring. It doesn't describe phenotypic variation within a species.



"
کدام مورد اصطلاح صحیح برای ارگانیسم‌هایی است که فضای خاصی را اشغال می‌کنند؟,"The correct answer is **B: جمعیت**.

Here's why:

* **جمعیت (Population)** is defined as a group of individuals of the *same species* living in the *same area*.  This aligns perfectly with the question asking about organisms that occupy a specific space.

Let's look at why the other options are incorrect:

* **تک‌شکل (Monomorphic)** refers to a population where all individuals have the same phenotype (a single form).
* **گونه‌ها (Species)** is a group of organisms that can interbreed and produce fertile offspring. While a population *belongs* to a species, the species itself isn't the definition of organisms occupying a space.
* **چند شکلی (Polymorphic)** refers to a population where individuals exhibit multiple phenotypes.



Therefore, the only option that accurately describes organisms occupying a specific space is **جمعیت (Population)**."
کدام یک از موارد زیر مثالی از گردشگری طبیعت‌دوست نیست؟,"پاسخ صحیح گزینه **C: بازدید از موزه‌های علوم** است.

توضیح:

* **گردشگری طبیعت‌دوست** بر بازدید از مناطق طبیعی و لذت بردن از مناظر، گیاهان، حیات وحش و مطالعه اکوسیستم متمرکز است.
* **پیاده‌روی تا آبشار**، **عکسبرداری از گل‌های وحشی** و **ماهیگیری با حشره مصنوعی** همگی فعالیت‌هایی هستند که مستقیماً با طبیعت و محیط زیست مرتبط هستند.
* اما **بازدید از موزه‌های علوم** بیشتر جنبه آموزشی و فرهنگی دارد و لزوماً با تجربه مستقیم در طبیعت مرتبط نیست. موزه‌های علوم می‌توانند در مورد طبیعت اطلاعات ارائه دهند، اما خودشان یک فعالیت طبیعت‌دوست محسوب نمی‌شوند.
"
با توجه به متن، کدام یک از موارد زیر مبنای سیستم حمل‌ونقل است؟,"پاسخ صحیح **B: اتومبیل‌های شخصی** است.

متن به صراحت بیان می‌کند که این شاتل حمل و نقل دینامیکی ""برپایه اتومبیل‌های شخصی متصل و پشتیبانی می‌شود."" سایر گزینه‌ها (A، C و D) عوامل مرتبط هستند اما مبنای مستقیم سیستم حمل‌ونقل نیستند.
"
ذراتی که به دور هسته می‌چرخند، چه نوع باری دارند؟,"The correct answer is **C: بار منفی**.

The passage states: ""الکترون‌ها دارای بار الکتریکی منفی می‌باشند"" which translates to ""Electrons have negative electric charge.""
"
هسته از کدام ذرات تشکیل شده است؟,"The correct answer is **A: پروتون‌ها و نوترون‌ها (Protons and neutrons)**.

The passage states: ""هسته از دو نوع از ذرات تشکیل شده - نوترون‌ها و پروتون‌ها"" which translates to ""The nucleus is composed of two types of particles - neutrons and protons""."
با توجه به متن، کدام یک از موارد زیر مثالی از عدد دودویی پنج بیتی است؟,"The correct answer is **C: 10010**.

Here's why:

* **Binary numbers** use only 0s and 1s.
* **A five-bit binary number** means a number represented by exactly five of these 0s and 1s.

Let's look at each option:

* **A: 1010** - This is a four-bit binary number.
* **B: 12001** - This is not a valid binary number because it contains the digit '2'.
* **C: 10010** - This is a five-bit binary number.
* **D: 110101** - This is a six-bit binary number.

Therefore, only option C fits the description of a five-bit binary number.
"
ارقام دودویی همچنین با چه عنوانی معرفی می‌شوند؟,"The correct answer is **A: بیت**.

The passage explicitly states that in computer terminology, binary numbers are called ""digits"" or ""bits"".
"
کدام‌ یک از موارد زیر به عنوان مزیت اصلی وبلاگ‌نویسی دانش‌آموزان در متن معرفی نشده است؟,"پاسخ صحیح گزینه **B: کاهش انتقاد توسط همتایان** است.

**دلیل:**

متن به صراحت بیان می‌کند که حضور مخاطب (که اغلب خود دانش‌آموزان هستند) باعث می‌شود نویسنده وبلاگ برای جلوگیری از انتقاد، تلاش کند نوشتن خود را بهبود بخشد. این نشان می‌دهد که انتقاد (حتی از خود دانش‌آموزان) یک محرک برای بهبود نوشتن است، نه کاهش آن.

گزینه‌های دیگر (A، C و D) به عنوان مزایای وبلاگ‌نویسی در متن معرفی شده‌اند.
"
کدام یک از جنبه‌های وبلاگ‌نویسی به عنوان انگیزه‌ای برای بهبود مهارت نویسندگی دانش‌آموزان مطرح شده است؟,"پاسخ صحیح گزینه **B: ضرورت اجتناب از انتقاد** است.

در متن به این جمله اشاره شده است: ""نویسنده وبلاگ برای جلوگیری از انتقاد، در جهت بهبود نوشتن تلاش می کند.""  این نشان می دهد که ترس از انتقاد، انگیزه‌ای برای بهبود مهارت‌های نویسندگی دانش‌آموزان در وبلاگ‌نویسی است.

در حالی که سایر گزینه‌ها نیز جنبه‌هایی از وبلاگ‌نویسی هستند، اما به عنوان **انگیزه‌ای مستقیم برای بهبود مهارت نویسندگی** به اندازه گزینه B مورد تاکید قرار نگرفته‌اند.
"
