question,gemma3_reply
"Čo sa podľa úryvku nepovažuje za presné odporúčanie, ako dobre hrať na akordeóne?","The correct answer is **A: Pre väčšiu hlasitosť triafajte klávesy väčšou silou** (To achieve greater loudness, strike the keys with more force).

The text explicitly states the opposite: ""Pre väčšiu hlasitosť nie je potrebné stlačiť klávesy väčšou silou ako na klavíri"" (To achieve greater loudness, you don't need to press the keys with more force than on a piano).  The other options align with the text's advice.
"
"Keď hráte na akordeón, ktorá z nasledujúcich možností vám pomôže zvýšiť hlasitosť?","The correct answer is **A: Väčšia rýchlosť**.

The text states: ""Ak chcete na akoredóne dosiahnuť väčšiu hlasitosť, použite mechy s väčším tlakom **alebo rýchlosťou**."" (To achieve greater volume on the accordion, use bellows with greater pressure **or speed**.)

While pressure *can* increase volume, the text explicitly mentions speed as another way to increase volume. The other options are incorrect as the text states that greater force is *not* required for volume and that more movement is to be avoided for efficiency.
"
Prečo majú obrazy na televízore orezané okraje?,"The correct answer is **B: Aby obraz pokrýval celú obrazovku**.

The passage explicitly states that overscan (the cropping of edges on TVs) is done to ensure the picture fills the entire screen.
"
S ktorým z nasledujúcich problémov sa podľa úryvku môžete stretnúť pri konverzii filmu do formátu DVD?,"The correct answer is **B: Čiastočne orezané titulky**.

Here's why:

* The passage states that overscan (the cropping of edges on TVs) can cause subtitles to be positioned too low and therefore not fully visible on a DVD.

Let's look at why the other options are incorrect:

* **A: Obraz nevypĺňa celú obrazovku:** The passage says the *opposite* - that overscan *does* cause the image to be cropped.
* **C: Obraz vypĺňa celú obrazovku:**  The passage discusses the problem *caused* by overscan, which is the opposite of the image filling the screen.
* **D: Orezané okraje:** The passage discusses overscan causing the cropping of *all* edges, not just the overall ""orezané okraje"". While cropping of edges *is* mentioned, the more specific problem relating to subtitles is the correct answer.



"
Kde sa nachádzala britská posádka?,"The correct answer is **C: Bordentown**.

The passage states: ""Generál John Cadwalder podnikol diverzný útok proti britskej posádke v **Bordentowne**..."" This directly answers the question of where the British garrison was located.
"
Čí podpis sa objavil na ručne písanom návrhu?,"The correct answer is **D: Charlesa Thomsona**.

The text states: ""po prijatí Kongresom 4. júla bol ručne písaný návrh podpísaný prezidentom Kongresu Johnom Hancockom a ministrom Charlesom Thomsonom..."" This clearly indicates that Charles Thomson signed the handwritten draft.
"
Na ktoré z týchto miest boli nakoniec zaslané Dunlapove bočné strany?,"The correct answer is **A: New York** and **C: Londýn**.

The text states:

*   ""Jeden bol 6. júla zaslaný Georgeovi Washingtonovi, ktorý ho 9. júla nechal prečítať svojim jednotkám v **New Yorku**.""
*   ""Kópia sa do **Londýna** dostala 10. augusta.""

Therefore, both New York and London received copies of the Dunlap broadsides.  Dunlap's printing house is where they were printed, and Independence Hall was where the document was read publicly.

"
Kde boli usadené vojská plukovníka Starka?,"The correct answer is **A: Na severnom konci, pozdĺž plotu** (At the northern end, along the fence).

The passage explicitly states: ""Starkovi muži zaujali pozície pozdĺž plotu na severnom konci od pozície „kolonistu“."" (Stark's men took positions along the fence at the northern end of the ""colonist"" position.)
"
Kedy podľa úryvku Starkovi muži rozšírili plot?,"The correct answer is **C: Počas odlivu**.

The passage states: ""When the ebb tide opened a gap along the Mystic River on the northeast side of the peninsula, the fence was quickly extended..."" This clearly indicates the plot was extended during the ebb tide.
"
Ktoré z nasledujúcich období v Číne boli podľa úryvku jednými z období najväčšieho násilia?,"The correct answer is **D: Obdobie troch kráľovstiev**.

Here's why:

* The passage explicitly states that the era of the Three Kingdoms was ""one of the bloodiest periods in the history of ancient China"" and involved ""cruel wars"" and ""thousands of people died.""
* While the passage mentions the city of Xi'an (Obdobie Si-an) as a location for the power struggles, it doesn't directly characterize it as a period of *extreme* violence in the same way it does the Three Kingdoms period.
* The Dynasties Han and Jin are mentioned as periods *before* and *after* the Three Kingdoms period, respectively, and the passage doesn't describe them as particularly violent eras themselves.

Therefore, the Three Kingdoms period is the only option directly identified as a period of immense violence in the provided text.
"
