question,gemma3_reply
"Ebarat key hisaab sey, Kamiyaabi key saath baaja bajaney key liye kis cheez ko durust tip nahein samjha jaata hay?","सही जवाब है **A: Ezaafi aawaz key liye, jinn kaleedon parr aap martey hein uskey saath zor badhadein**।

यहाँ बताया गया है कि यह सही क्यों है:

प्रसंग स्पष्ट रूप से कहता है कि आपको कुंजी पर बहुत अधिक बल से उंगलियां मारने की आवश्यकता नहीं है। वास्तव में, यह बताता है कि तेज आवाज के लिए, आप अधिक दबाव या गति के साथ चाबियों का उपयोग करते हैं। विकल्प A सीधे तौर पर इस सलाह का खंडन करता है, यह सुझाव देकर कि अधिक शोर के लिए कुंजी पर अधिक बल का प्रयोग किया जाना चाहिए।

अन्य विकल्प सही क्यों नहीं हैं:

*   **B: Apni salahiyat ko mahfooz karney key liye kam sey kam gair zaruri harkat karein:** प्रसंग ऐसा करने के लिए प्रोत्साहित करता है, इसलिए यह गलत है।
*   **C: Dheela haath barqaraar rakhtey waqt saazon parr marna yaad rakhein:** प्रसंग ऐसा करने के लिए प्रोत्साहित करता है, इसलिए यह गलत है।
*   **D: Ezaafi awaaz haasil karney liye jiss sey aap ghantiyaan bajatey hein uss key saath raftaar badha dein:** प्रसंग ऐसा करने के लिए प्रोत्साहित करता है, इसलिए यह गलत है।"
"Bajaa bajatey waqt, darjah zail mein sey kiss sey aawaz badhaney mein madad miley gee?","The correct answer is **A: Mazeed raftaar (More speed)**.

Here's why:

The text states that ""Bajey par izaafi hajam haasil karney key liye aap ziyadah dabao yaa raftaar key saath kamanon kaa istemaal kartey hain."" This translates to ""To achieve additional resonance while playing, you use more pressure or speed with the keys.""

The text emphasizes *speed* as a factor in increasing volume, not pressure or limited finger movement.

Let's look at why the other options are incorrect:

* **B: Mazeed zor (More force):** The text explicitly advises *against* using excessive force (""kaleedon par ziyadah zor sey ungliyan maarney kee zaroorat nahin"").
* **C: Kam dabao (Less pressure):** The text suggests using *more* pressure for increased resonance.
* **D: Ungli ki kam harkat (Less finger movement):**  The text mentions aiming for smoother, less forceful finger movements.

Therefore, the most accurate answer is **A: Mazeed raftaar**."
Television parr tasweeron ka bardar keon kata hua hota hay?,"The correct answer is **B: Takehh tasweer mokammal screen ko bhar dey**

Here's why:

The passage explicitly states: ""Yeah yaqeeni bananay keliye tayaar kiya gayaa hay keh tasveer puri screen ko dhak lay- Isee ko over scan kahaa jaataa hay.""  This translates to ""It's prepared to make sure the picture covers the entire screen. This is called overscan.""

Therefore, televisions cut the borders of images to ensure the picture fills the entire screen. The other options are incorrect based on the provided text."
"Ebarat key hisaab sey, darjah zail kis masalah ka DVD wazaa mein eek movie ko muntaqil kartey waqt kisi ko samnaa karna pad sakta hay?","सही उत्तर है **B: Juzwi tor parr zaili unwanaat katein**

यहाँ स्पष्टीकरण दिया गया है:

प्रश्न में बताया गया है कि ओवर स्कैन के कारण DVD बनाने के दौरान, वीडियो के नीचे मौजूद उपशीर्षक कट सकते हैं। इसलिए, सही उत्तर वह विकल्प है जो इस समस्या को दर्शाता है: उपशीर्षक का आंशिक रूप से कट जाना।

अन्य विकल्प गलत क्यों हैं:

*   **A: Puri screen ko na bharney wali eek tasveer:** ओवर स्कैन का परिणाम यह नहीं है कि तस्वीर पूरी स्क्रीन को नहीं भरती है, बल्कि यह है कि तस्वीर के किनारे कट जाते हैं, जिससे उपशीर्षक जैसे महत्वपूर्ण तत्व कट सकते हैं।
*   **C: Mokammal screen ko bharney deney wali eek tasveer:** ओवर स्कैन का लक्ष्य पूरी स्क्रीन को भरना है, लेकिन यह वांछित परिणाम नहीं है, बल्कि एक अनचाहा दुष्प्रभाव है।
*   **D: Barder ko katein:** यह ओवर स्कैन का एक हिस्सा है, लेकिन यह समस्या का पूर्ण विवरण नहीं है। समस्या उपशीर्षक जैसे कंटेंट के कटने के बारे में है।"
Bartanavi garrison kahaan waqea thaa?,"The correct answer is **C: Bordentown**.

The text states: ""General John Cadwalader ko Bordentown mein hareef ko moghalte mein daal kar..."" which means General Cadwalader was to place the enemy in Bordentown.
"
Eek haath sey tahreer kardah draft parr kis ki dastakhat zahir hui thee?,"The correct answer is **D: Charles Thomson**.

The text states: ""ek haath sey tahreer kardah draft, jis par congress key sadar jaan hancok our secretary **charlis thomson** kee jaanib sey dastakhat kiye gaye..."" which translates to ""a hand-written draft, which was signed by Congress President John Hancock and secretary **Charles Thomson**...""
"
"Darjah zail mahalle waqoo mein sey, dunlop broad side akhir mein kahaan pahunchi thee?","The correct answer is **C: London**.

The text states: ""uss kee ek copy 10 August ko london pahunchi thee."" (A copy of it reached London on August 10th.)
"
Colonel Stark key foji kahaan waqea they?,"The correct answer is **C: Jazeerah numa key shumaal mashriq mein (In the north-eastern part of the island)**.

Here's why:

The text states: ""Jab jazirah numaa key shumaal mashriqi hissay key saath mestik daryaa key saath nasheebi lahar nay ek khalaa ko khol diyaa..."" (When the tidal wave, along with the Mystic River, opened a gap in the north-eastern part of the island...).  This clearly places them in the north-eastern part of the island.

Option A (""Baadh key kinarey, shumaali sirey parr"" - ""On the bank of the river, on the northern shore"") is too vague.
Option B (""Samundar key kinarey eek saahil parr"" - ""On the seashore, on a shore"") is also vague, though closer.
Option D (""Baadh key saamney"" - ""In front of the river"") is not precise enough.



"
"Ebarat key hisaab sey, Stark key logon ney apni baadh mein kabb tausee ki thee?","The correct answer is **D: Jabb fojiyon ney aagey ki taraf position sanbhaal liya**

Here's why:

The passage states: ""Stark key aadmiyon nay colonist kee jagah kee shumali hadd key janglay par positions sanbhaal leen."" (Stark's men took positions in the woods at the northern edge of the colony instead of the colonists.) This indicates that they expanded their position *after* taking the initial defensive positions.  The statement about calling for help is the *reason* they needed to expand, not the *time* they expanded. The passage doesn't mention ""baqaedah fojiyon key dao chalney key baad"" or ""kam lahar key doraan.""



"
"Ebarat key hisaab sey, darjah zail mein sey kon cheen ka sabsey ziyadah pur tashaddud zamanah hay?","The answer is **D: Teenon saltanaton ka zamanah (Three Kingdoms Period)**.

The passage explicitly states: ""Inn adwaar kaa sab sey mashhur zamana tharee saltanaton kaa ahed thaa jarr haan our jinn khandaan key maa bain 60 saal tak jaari rahaa. Inn adwaar mein bahut sey umaraa wo shorafaa key darmiyan takht wo taaj key liye shadeed jangein huyein. Qadeem cheen kee tareekh mein teen riyasatein sab sey khunreez dauron mein sey ek hay hazaaron afraad uss ladayi mein jaan bahaq huway keh ziyaan mein baday mahal mein sab sey uoonchi nashist par baith jayein.""

Translation: ""The most famous period of these times was the era of the Three Kingdoms, which lasted for 60 years between the families. During these times, there were fierce battles between nobles and gentry for the throne and the crown. In the history of ancient China, among the most violent periods, the Three Kingdoms were one where thousands of people died in battle to sit on the highest seat of power.""

The passage directly identifies the Three Kingdoms period as the most violent period in ancient Chinese history. While the other options represent important eras, the passage focuses on the bloodshed and conflict specifically associated with the Three Kingdoms period.
"
"Ebarat key hisaab sey, khaanah badosh marhalah mein dakhil honey wali chiyontiyon ki colony ki foj mein sey kiya sahee hay?","The correct answer is **B: Unkey paas khaney ki kam farahami hoti hay** (They have a shortage of food).

Here's why:

The passage explicitly states: ""Khaaney kee dastiyaab ashyaa mein kamee ho jaaney par colony mein khaanah badoshi kaa marhalah shuro ho jaataa hay"" which translates to ""When there is a shortage of available food in the colony, the food hoarding phase begins.""

Let's look at why the other options are incorrect:

*   **A: Wohh raat mein ghonslah banati hein** (They build nests at night) - While the passage mentions they march at night, it doesn't say they *build* nests at night specifically during the hoarding phase.
*   **C: Wohh aisey ghonsley banati hein jo 17 dino key baad badal jaatey hain** (They build nests that change after 17 days) - This describes the temporary nests built during the hoarding phase, but it doesn't explain *why* they enter this phase. The reason they enter is the food shortage.
*   **D: Wohh din key doraan march karti hein** (They march during the day) - The passage states they march at night during the food gathering phase, not during the hoarding phase.

Therefore, the shortage of food is the triggering condition for the food hoarding phase, making option B the correct answer."
"Ebarat key hisaab sey, konsa darjah zail bayaniyah khaanah badosh marhalah key doraan foji chiyontiyon ki caluniyon ki ghonsalah bananey ki aadaton ki durust tor parr akkasi karta hay?","The correct answer is **C: Wohh rozanah ghonsley badalti hein** (They change nests daily).

Here's why:

* The passage explicitly states: ""iss marhalay mein colony aarzi ghonslay banaati hain jo harr roz tabdil hotay rahte hain"" (In this phase, the colony builds temporary nests that keep changing every day).

Let's look at why the other options are incorrect:

* **A: Wohh raat key doraan ghonsley banati hein** (They build nests during the night): While the passage mentions they march at night, it doesn't say they *only* build nests at night.
* **B: Ghaonslah banaye begair 17 dino tak wohh march karti hein** (They march for 17 days without building nests): The passage states that a nest takes approximately 17 days to complete, implying they *do* build nests.
* **D: Wohh iss marhalah key doraan eek hi tarah key ghonsley istemaal karti hein** (They use the same type of nests during this phase): The passage says the nests are ""aarzi"" (temporary) and ""tabdil hotay rahte hain"" (keep changing), indicating they don't use the same type of nest.



"
Darjah zail mein sey kon kharjee isharon ki mojudgi key bawajood jaari rahey gee?,"The correct answer is **C: Hayatiyaati ghadiyaan (Hayatiyaati clocks)**.

Here's why:

* **The passage states:** ""Hayatiyati clocks khud ko barqarar rakhnay waala irteashindah hay jo khaariji eshaaron kee adm maujudgi mein bhee aazadi sey chal rahay chakkar kee muddat ko jaari rakhay gaa.""  This translates to: ""Biological clocks are self-sustaining oscillators that will continue to run freely even in the presence of external cues.""

Let's look at why the other options are incorrect:

* **Endogenous chakkar (Endogenous rhythms):**  The passage mentions that many behaviors are dependent on endogenous rhythms, but it doesn't say these rhythms *continue* even with external cues.  In fact, external cues often *entrain* (synchronize) endogenous rhythms.
* **Motawatir taalein (Circadian rhythms):**  The passage states that circadian rhythms are *not* responses to external cues.
* **Moshahedah kardah taalein (Observed rhythms):** The passage states that observed rhythms are often dependent on the presence of external cues.



Therefore, only biological clocks are explicitly stated to continue running freely even in the presence of external cues."
Konsi istelaah unn afraad ki wazahat karti hay jo makhsus phenotypic rawayyah key tanawwo ko zaahir karti hein?,"The correct answer is **D: Kaseer shakal (Polymorphic)**.

Here's why:

* **Polymorphic** refers to the presence of multiple forms or variations within a population. The question specifically asks about individuals exhibiting different forms related to a specific phenotypic trait (observable characteristic).

Let's look at why the other options are incorrect:

* **Hamm shakal (Monomorphic):** This means all individuals are identical in appearance, the opposite of what the question asks.
* **Hayatiyaat (Biology/Life):** This is a general term and not specific to describing variations in appearance.
* **Parjatiyaan (Species):** This refers to a group of organisms capable of interbreeding and producing fertile offspring.  While variation exists within species, the question is about variation *within* an existing population and how that variation is described.



"
Darjah zail mein sey kon hayatiyaat ki durust istelaah hay jo eek khaas elaqah par qaabiz hoti hay?,"The correct answer is **B: Aabadi**.

Here's why:

* **Aabadi (Population):**  The question defines ""aabadi"" as a specific geographical area containing a collection of organisms with particular characteristics. This aligns perfectly with the definition of population in biology.

Let's look at why the other options are incorrect:

* **Hamm shakal (Monomorphic):** This refers to a population where all individuals have the *same* form/shape. While the text defines it, it's not the general term for a population.
* **Parjatiyaan (Species):** This refers to a group of organisms that can interbreed and produce fertile offspring. It's a higher level of classification than a population.
* **Kaseer shakal (Polymorphic):** This refers to a population where individuals exhibit *different* forms/shapes. Again, it's a characteristic of a population, not the name of the population itself.



Therefore, **Aabadi (Population)** is the most appropriate and accurate term for a group of organisms inhabiting a specific geographical area.



"
