question,gemma3_reply
Khargosh kon dhoroner shikarir jonyo sadharon shikar?,"The correct answer is **C: Majhari akarer biaal (Medium-sized predators)**.

The passage states that the foxes hunt medium-sized predators, starting from rabbits and going up to deer.  The question asks about the common prey of rabbits. Since rabbits are medium-sized animals, the answer is ""majhari akarer biaal"".
"
Tulonamulok chhoto biaalra sadharonoto nicher konti shikar kore?,"The correct answer is **A: Indoor**.

The passage states: ""Abosheshe, onek chhoto biaal achhe (hariwe jaoa posha biaal) jara onek khudro shikar korey thaake jemon poka, indoor, tiktiki ebong pakhi."" This translates to: ""Finally, there are many small cats (house cats) who hunt very small prey such as insects, indoor mice, shrews, and birds.""

Therefore, indoor mice are one of the small cats' common prey.
"
Nicher konti oceloto’er shikar poddhotir ongsho noy?,"সঠিক উত্তর হল: D: Kebol chhoto akarer prani shikar kora।

কারণ:

অনুচ্ছেদে স্পষ্টভাবে বলা হয়েছে যে ওসেলোটারা ছোট-বড় সব ধরনের প্রাণীকে শিকার করে। তাই, ""কেবল ছোট আকারের প্রাণী শিকার করা"" - এই অপশনটি ওসেলোটোর শিকার পদ্ধতির অংশ নয়।

অন্যান্য অপশনগুলো ওসেলোটোর শিকার পদ্ধতির অংশ:

*   তাদের চারপাশের পরিবেশের সাথে মিশে থাকা: এটি তাদের শিকারের কাছে লুকিয়ে থাকতে সাহায্য করে।
*   তাদের শিকারের গন্ধ অনুসরণ করা: এটি তাদের শিকার খুঁজে বের করতে সাহায্য করে।
*   তাদের শিকারকে রাতে অনুসরণ করা: ওসেলোটারা সাধারণত রাতে শিকার করে এবং তাদের খুব ভালো দৃষ্টিশক্তি থাকে।"
Nicher konti ekti oceloto ke sothikbhabe bornona kore na? ,"সঠিক উত্তর হল C: Tader ghranshokti durbol (তাদের ঘ্রanshokti দুর্বল)।

কারণ:

অনুচ্ছেদটিতে স্পষ্টভাবে বলা হয়েছে যে ওসেলটোর ঘ্রanshokti খুবই শক্তিশালী এবং তারা শিকার খোঁজার জন্য গন্ধ ব্যবহার করে। অন্য অপশনগুলো অনুচ্ছেদের সাথে সামঞ্জস্যপূর্ণ:

* A: Tara rathe bhalo shikar korte pare (তারা রাতে ভালো শিকার করতে পারে) - অনুচ্ছেদে বলা হয়েছে তারা অন্ধকারে ভালো দেখতে পায়।
* B: Tara nisshobde cholachol kore (তারা নিঃশব্দে চলাচল করে) - অনুচ্ছেদে বলা হয়েছে তারা চুপিসারে চলে।
* D: Tara chhototo prani shikar korte pochhondo kore (তারা ছোট প্রাণী শিকার করতে পছন্দ করে) - অনুচ্ছেদে এটা স্পষ্ট করে বলা হয়েছে।"
Nicher konti ekti bagher borho shokti hisebe bibechito hobe na?,"সঠিক উত্তর হল: C: Luffie luffie chola

কারণ:

* প্রশ্নে বলা হয়েছে যে বাঘ একটি শক্তিশালী প্রাণী এবং এর অনেক ক্ষমতা আছে।
* বাঘের ক্ষমতা হিসেবে উল্লিখিত আছে:
    * Climb (Arohon korte pare)
    * Swim (Saantaar)
    * Pull (Luff ebong tante paare)
    * Roar (Gorjon korte pare)
* ""Luffie luffie chola"" বা ""Luffie luffie chola"" কোনো পরিচিত বাঘের ক্ষমতা নয়। এটি সম্ভবত ভুলভাবে লেখা হয়েছে অথবা বাঘের ক্ষমতার মধ্যে পড়ে না।

অন্যান্য বিকল্পগুলি বাঘের পরিচিত ক্ষমতা:

* Gorjon kora (Roaring) - বাঘের একটি পরিচিত বৈশিষ্ট্য।
* Arohon korte pare (Climbing) - বাঘ গাছে চড়তে পারে।
* Luff ebong tante paare (Pulling) - বাঘ শক্তিশালী এবং টেনে তুলতে পারে।"
"Onucchhed onujaayi, bagh o shingher modhye parthokyo konti?","The correct answer is **B: Gorjoner shobdo** (Sound of roaring).

Here's why:

* The passage explicitly states: ""Baghtir gorjon ekti singher purna-kanthaswarer gorjoner moto naya, borong gargar koraa oo chenchano shobder toiri ekti bakyer moto."" (A tiger's roar is not like a lion's full-throated roar, but rather like a gargling and a creation of distinct sounds in a sentence.)

Let's look at why the other options are incorrect:

* **A: Saantaar katar kkhomota (Strength of claws):** The passage mentions tigers have strong claws (""saantaar, besh duroporjonto luff ebong tante paare""), but it doesn't compare this strength to lions.
* **C: Tader luffanor durotwo (Distance of their pounce):** The passage doesn't provide information about the distance of their pounces.
* **D: Tader tanar shokti (Strength of their pull):** Similar to claws, the passage mentions the ability to pull (""tante paare""), but doesn't compare the strength of their pull to lions.

Therefore, the passage directly contrasts the *sound* of a tiger's roar with that of a lion's roar.
"
"Onucchhed onujaayi, Onyanyo jibobigganir age Robbert Hooke ki korechhilen?","সঠিক উত্তর হল: **A: মrito kosh porikkha kora**

কারণ অনুচ্ছেদে বলা হয়েছে, রবার্ট হুক প্রথম ব্যক্তি যিনি মৃত কোষগুলো পর্যবেক্ষণ করেছিলেন। অন্য অপশনগুলো রবার্ট হুকের আবিষ্কারের প্রক্রিয়া বা পর্যবেক্ষণের ফলাফল বর্ণনা করে, কিন্তু মূল বিষয় হল তিনি মৃত কোষ নিয়ে কাজ করেছিলেন।"
“Kosh” shobdotir utpottigoto ortho ki?,"সঠিক উত্তর হল **B: Chhoto chhoto ghar**।

কারণ প্রশ্নে বলা হয়েছে যে ""cella"" (cell) শব্দ থেকে ""kosh"" শব্দটি এসেছে, এবং ""cella"" শব্দের অর্থ হল ""ছোট ঘর""।
"
"Onucchhed onujaayi, Odhikangsho pranir konti korar khomota royechhe?","The correct answer is **B: Cholafera (Walking)**.

The passage states: ""beshirbhag prani cholafera korte paare"" which translates to ""most animals can walk."" 

The passage also mentions other things animals do:

*   ""matite khunde thaake"" - burrow in the ground
*   ""mahasagare saantaar kaate"" - swim in the ocean
*   ""akashe ure bedaay"" - fly in the sky

But it specifically says that *most* animals can walk. Therefore, the answer is B."
"Onucchhed onujaayi, Kichhu pranir konti thake na?","The correct answer is **A: Kosh**.

Here's why:

The passage states: ""Kebolmatro pranider mostishko thaake (jodio samasta pranider thaake naa; udahoronsorup jelifisher mostishko nei)."" This means that not all living organisms have a cell (kosh).  The passage goes on to describe the characteristics of living organisms, but it specifically highlights that some, like jellyfish, lack a brain (mostishko).  Therefore, the passage implies that not all living things have cells.

Let's look at why the other options are incorrect:

*   **B: Hojom korar kkhomota (Ability to digest):** The passage mentions that living organisms ""ebong taader vitore hojom korey"" (and digest within them). So, this is a characteristic of living organisms mentioned in the text.
*   **C: Mostishko (Brain):** The passage states that ""Kebolmatro pranider mostishko thaake"" (Only living organisms have a brain), but it also immediately clarifies that this is not universally true, giving the example of jellyfish. However, the passage *does* mention the existence of brains in some living organisms.
*   **D: Khawar kkhomota (Ability to eat):** The passage states that living organisms ""taaraa bivinno jinis khei thaake"" (they eat various things). So, this is a characteristic of living organisms mentioned in the text.



"
