question,gemma3_reply
Mikä tekstikatkelman mukaan ei olisi oikea vinkki harmonikan soittamiseen?,"Oikea vastaus on **A: Lisäät äänenvoimakkuutta, kun painat näppäimiä voimakkaammin**.

Tekstissä selkeästi sanotaan: ""Harmonikkaan saa lisää äänenvoimakkuutta, kun käyttää palkeita suuremmalla paineella tai nopeudella."" Tämä tarkoittaa, että näppäimiä ei tarvitse painaa voimakkaasti äänenvoimakkuuden lisäämiseksi."
"Kun soitat harmonikkaa, mikä seuraavista auttaa sinua lisäämään äänenvoimakkuutta?","The correct answer is **A: Nopeuden lisääminen** and **B: Voiman lisääminen**. 

The text states: ""Harmonikkaan saa lisää äänenvoimakkuutta, kun käyttää palkeita suuremmalla paineella tai nopeudella."" (You get more volume on the harmonica by using the reeds with greater pressure or speed.)

Both increased speed and increased pressure (force) will result in a louder sound. Therefore, both A and B are correct. 

The other options are incorrect:
* C: Paineen vähentäminen (Reducing pressure) would make the sound quieter.
* D: Sormien liikkeen vähentäminen (Reducing finger movement) is about efficiency, not volume."
Miksi televisiossa olevien kuvien reunat on leikattu?,"The correct answer is **B: Jotta kuva täyttää koko ruudun**

Here's why:

*   The passage explicitly states: ""Suurin osa televisiosta nähdystä on leikattu reunoja ylä- ja alapuolelta ja sivuilta. Näin varmistetaan, että kuva täyttää koko näyttöruudun."" (Most of what you see on TV has its edges cropped from the top, bottom, and sides. This ensures that the image fills the entire screen.)

Let's look at why the other options are incorrect:

*   **A: Tekstitysten vuoksi (Because of subtitles)**: While subtitles *can* be affected by cropping, the primary reason for cropping is not the subtitles.
*   **C: Jotta se voidaan muuntaa yksinkertaisesti muihin muotoihin (So it can be easily converted to other formats)**: Cropping isn't done for easy format conversion; it's a display optimization technique.
*   **D: Jotta liian lähellä alareunaa olevat tekstitykset voidaan leikata (So subtitles too close to the bottom can be cropped)**: This is the opposite of the reason. Cropping can *hide* subtitles.



"
"Millaisia ongelmia saatat kohdata tekstikatkelman mukaan, kun muunnat elokuvan DVD-muotoon?","The correct answer is **B: Osittain leikkautuneet tekstitykset**.

Here's why:

* The text explains that overscanning on TVs can cause subtitles near the bottom of the screen to be cut off when a DVD is recorded.

Let's look at why the other options are incorrect:

* **A: Kuvan, joka ei täytä koko ruutua** - The text states that overscanning *results* in a picture that fills the screen, not one that doesn't.
* **C: Kuvan, joka täyttää koko ruudun** - While overscanning *attempts* to fill the screen, the text highlights the negative consequence of this (cut-off subtitles).
* **D: Reunat leikkautuvat** -  While the text mentions the cutting of edges, the specific problem related to text is the *partial cutting* of subtitles.



"
Missä brittiläinen varuskunta sijaitsi?,"The correct answer is **C: Bordentownissa**.

The passage states: ""Kenraali John Cadwalderin oli tarkoitus aloittaa harhautushyökkäys Bordentownin brittiläistä varuskuntaa vastaan..."" which translates to ""General John Cadwalder was to initiate a feigned attack against the British garrison at Bordentown..."""
Kenen allekirjoitus näkyi käsinkirjoitetussa kappaleessa?,"Oikea vastaus on **D: Charles Thomsonin**.

Tekstissä sanotaan selvästi: ""kongressin puheenjohtajan John Hancockin ja **sihteerin Charles Thomsonin** allekirjoittama käsinkirjoitettu kappale""."
Minne Dunlapin avoarkki saapui viimeisenä?,"Oikea vastaus on **C: Lontooseen**.

Tekstissä sanotaan selvästi: ""Yksi kappale ehti Lontooseen 10. elokuuta."" Muut vaihtoehdot mainitaan tekstissä aikaisemmin, mutta Lontooseen saapuminen on viimeinen mainittu tapahtuma."
Missä eversti Starkin joukot sijaitsivat?,"The correct answer is **A: Pohjoisosassa, aidan vieressä** (In the north part, next to the fence).

The text states: ""Starkin miehet kävivät asemiin aidan viereстью siirtokuntalaisten aseman pohjoispäässä."" (Stark's men took positions next to the fence at the northern end of the colonist's position.)"
Milloin Starkin miehet pidensivät aitaa tekstikatkelman mukaan?,"The correct answer is **C: Laskuveden aikana**.

The text states: ""Kun laskuvesi avasi aukon Mystic Riverin varrelle niemimaan koillispuolella, he pidensivät nopeasti aitaa pohjoiseen..."" which translates to ""When the low tide opened a gap along the Mystic River on the northeast side of the peninsula, they quickly extended the fence north..."""
Mikä seuraavista oli tekstikatkelman mukaan Kiinan väkivaltaisin ajanjakso?,"Oikea vastaus on **D: Kolmen kuningaskunnan aika**.

Tekstissä sanotaan selkeästi: ""Kolmen kuningaskunnan kausi oli yksi muinaisen Kiinan historian verisimmistä aikakausista."""
"Mikä on tekstikatkelman mukaan totta vaeltajamuurahaisyhdyskunnalle, joka on aloittamassa vaellusvaiheen?","Oikea vastaus on **B: Niillä on vähän ruokaa**.

Tekstissä sanotaan: ""Yhdyskunta aloittaa vaellusvaiheen, kun saatavilla oleva ruoka on vähentynyt."""
Mikä seuraavista väittämistä kuvaa tekstikatkelman mukaan vaeltajamuurahaisyhdyskuntien pesimistä vaellusvaiheessa?,"The correct answer is **C: Ne vaihtavat pesiä päivittäin**.

The text states: ""Tämän vaiheen aikana yhdyskunta tekee väliaikaisia pesiä, jotka **vaihtuvat päivittäin**."" (During this phase, the colony creates temporary nests that **change daily**.)

Let's look at why the other options are incorrect:

* **A: Ne rakentavat pesiä öisin** - The text says they march at night and stop for the day, but it doesn't specify *when* they build nests.
* **B: Ne marssivat 17 päivää pesimättä** - The text says each marching/foraging trip lasts 17 days, but it mentions they build temporary nests during this phase.
* **D: Ne käyttävät samoja pesiä koko vaiheen ajan** - The text explicitly states that the nests are temporary and change daily."
Mikä seuraavista jatkuu huolimatta ulkoisista ärsykkeistä?,"The correct answer is **C: Biologiset kellot**.

Here's why:

* **The text explicitly states:** ""Biologiset kellot ovat itseään ylläpitäviä oskillaattoreita, jotka jatkavat tietyn ajan vapaasti toimivaa kiertoa myös ulkoisten ärsykkeiden puuttuessa."" (Biological clocks are self-sustaining oscillators that continue their cycle to a certain extent even in the absence of external stimuli.)

Let's look at why the other options are incorrect:

* **A: Sisäsyntyiset syklit (Intrinsic cycles):** While the text says many rhythms *depend* on intrinsic cycles, the cycles themselves are *maintained* by the biological clocks. The clocks are the mechanisms that allow the cycles to continue.
* **B: Kausittaiset rytmit (Seasonal rhythms):** The text mentions these *can* be responses to external seasonal cues. It doesn't say they automatically continue without external stimuli.
* **D: Havaitut rytmit (Observed rhythms):** These are the rhythms we see in behavior and body structure, and they are often *influenced* by biological clocks, but they don't necessarily continue independently of external stimuli."
"Mikä termi kuvaa yksilöitä, joiden fenotyyppisissä ominaisuuksissa on vaihtelua?","The correct answer is **D: Monimuotoinen**.

Here's why:

* **Monimuotoinen (Polymorphic):** This term specifically describes individuals within a population that show variation in a particular phenotypic trait. The question asks for the term that describes variation in phenotypic characteristics.

Let's look at why the other options are incorrect:

* **Monomorfinen (Monomorphic):** This describes individuals that are *identical* in a particular phenotypic trait.
* **Organismit (Organisms):** This is a general term for any living being and doesn't specify anything about variation within a population.
* **Laji (Species):** This refers to a group of organisms that can interbreed and produce fertile offspring. While variation exists *within* a species, the question asks about the term describing variation itself."
