question,gemma3_reply
Kapan Raja Tutankhamun mendapatkan ketenaran?,"The correct answer is **C: Setelah penemuan makamnya**.

The passage explicitly states: ""Namun, penemuan makamnya pada tahun 1922 membuatnya masyhur."" (However, the discovery of his tomb in 1922 made him famous.)
"
Apa yang membuat Tutankhamun terkenal sebagai raja Mesir?,"The correct answer is **A: Penemuan makamnya yang tak terusik (The discovery of his undisturbed tomb)**.

The passage explicitly states that Tutankhamun wasn't considered important in ancient times. His fame came *after* the discovery of his intact tomb in 1922. The other options are incorrect:

* **B: Statusnya dalam daftar raja masa lampau (His status in ancient lists of kings):** The passage says he wasn't recorded in most of those lists.
* **C: Penjarahan ribuan artefak dari makamnya (The looting of thousands of artifacts from his tomb):** The tomb was *not* looted, which is why the artifacts were so well-preserved.
* **D: Peran pentingnya selama era Mesir kuno (His important role during the ancient Egyptian era):** The passage implies he wasn't particularly important during his reign, and his fame is entirely due to the discovery of his tomb.
"
"Apa yang tidak dapat dilakukan pujangga Yunani, Homer?","The correct answer is **B: Melihat**.

The passage states Homer was a *blind* poet. Therefore, he couldn't see. The other options (hearing, walking, speaking) aren't explicitly stated as things he couldn't do, and are perfectly plausible for a blind person.
"
Manakah orang Yunani berikut yang dikenal bukan terkait kesusasteraan?,"The correct answer is **C: Pythagorus**.

Here's why:

*   **Homer** is famous for the *Iliad* and the *Odyssey* (poetry).
*   **Sophocles** and **Aristophanes** are renowned playwrights (drama).
*   **Pythagoras** is known for his mathematical theorem related to right triangles, making him known for mathematics, not literature.

Therefore, Pythagoras is the only one on the list primarily known for something *other* than literature."
Di manakah keluarga Ibrani menghabiskan waktunya?,"The correct answer is **A: Di ruang terbuka (In open spaces)**.

The passage explicitly states: ""Sebagian besar kehidupan keluarga Yahudi berlangsung di tempat terbuka"" which translates to ""Most of Jewish family life took place in open spaces.""  While the other options mention locations associated with the passage (courtyards, streets), ""open spaces"" is the most encompassing and accurate answer based on the text.
"
Hal apa yang tidak terlalu penting untuk keluarga Ibrani?,"The correct answer is **C: Rumahnya**.

The passage explicitly states: ""Di iklim hangat Timur Tengah, rumah tidak begitu penting."" (In the warm climate of the Middle East, houses were not very important.)
"
Manakah dari hal berikut yang tidak mendeskripsikan perbedaan negara-negara Skandinavia?,"Jawaban yang benar adalah **B: Tanah airnya**.

Alasannya:

Paragraf tersebut secara eksplisit menyatakan bahwa ada banyak perbedaan antara Denmark, Swedia, Norwegia, dan Islandia dalam hal:

*   **Orang-orangnya**
*   **Raja**
*   **Adat istiadat**
*   **Sejarahnya**

Namun, paragraf tersebut juga menyatakan bahwa *semua* negara tersebut adalah bagian dari Skandinavia, yang menyiratkan mereka berbagi tanah air yang sama (walaupun saat ini terpisah). Perbedaan yang disebutkan lainnya adalah perbedaan yang signifikan dan merupakan karakteristik utama yang membedakan negara-negara Skandinavia. Oleh karena itu, tanah air bukanlah perbedaan yang tidak dideskripsikan."
Siapa yang pertama kali menghuni Greenland?,"The correct answer is **A: Suku Eskimo**.

The passage explicitly states: ""Meskipun penemuannya, suku Eskimo telah tinggal di sana pada saat itu."" (Although he discovered it, the Eskimo people had been living there at that time.)
"
Grup manakah yang lebih suka makan tanpa kursi?,"The correct answer is **D: Wanita Roma miskin**.

Here's why:

The passage states: ""Perbedaan lainnya yaitu saat orang miskin dan perempuan itu menyantap makanan sambil duduk di kursi, orang kaya suka menikmati jamuan makan bersama sambil bersantai dan menyantap makanannya."" This translates to: ""Another difference is that when the poor and women ate, they sat on chairs, while the rich liked to enjoy banquets together while relaxing and eating.""

Therefore, the poor (including women) ate while sitting on chairs, while the wealthy ate while reclining (not using chairs).
"
Manakah dari hal berikut yang bukan bagian dari pesta Romawi Kuno?,"The correct answer is **D: Sepiring kalkun panggang**.

Here's why:

*   The passage explicitly states that Romans did not have access to foods from the Americas or Asia that came later, including turkey.
*   The passage mentions pheasant, snails, and rodents as unusual foods served at Roman feasts.
*   The passage mentions that poor people ate while sitting, while the wealthy relaxed and ate while reclining.

Therefore, a turkey roast would not have been part of a Roman feast."
